BAG_huisnummer,BAG_huisletter,BAG_huisnummertoevoeging,BAG_postcode,BAG_openbareruimtenaam,BAG_woonplaatsnaam,Energielabel,Energielabels_Bouwjaar,full_address,longitude,latitude,building_polygon_wkt,busy_roads
25,,,1015JX,Tweede Goudsbloemdwarsstraat,Amsterdam,A,1898,"Tweede Goudsbloemdwarsstraat 25, 1015JX, Amsterdam",4.88426833,52.38038009,"MULTIPOLYGON (((4.8843546 52.3804163,4.8843117 52.3804103,4.8843547 52.3803042,4.8842713 52.3802915,4.884254 52.3803325,4.8842159 52.3804178,4.8843414 52.3804356,4.884382 52.3804414,4.8843901 52.3804214,4.8843546 52.3804163)))",0
24,,1,1015JZ,Tweede Goudsbloemdwarsstraat,Amsterdam,F,1936,"Tweede Goudsbloemdwarsstraat 24 1, 1015JZ, Amsterdam",4.88406170,52.38046909,,0
24,,H,1015JZ,Tweede Goudsbloemdwarsstraat,Amsterdam,D,1936,"Tweede Goudsbloemdwarsstraat 24 H, 1015JZ, Amsterdam",4.88406170,52.38046909,,0
23,,2,1015JX,Tweede Goudsbloemdwarsstraat,Amsterdam,D,1859,"Tweede Goudsbloemdwarsstraat 23 2, 1015JX, Amsterdam",4.88423824,52.38044287,,0
23,,1,1015JX,Tweede Goudsbloemdwarsstraat,Amsterdam,D,1859,"Tweede Goudsbloemdwarsstraat 23 1, 1015JX, Amsterdam",4.88423824,52.38044287,,0
23,,H,1015JX,Tweede Goudsbloemdwarsstraat,Amsterdam,D,1859,"Tweede Goudsbloemdwarsstraat 23 H, 1015JX, Amsterdam",4.88423824,52.38044287,,0
22,,H,1015JZ,Tweede Goudsbloemdwarsstraat,Amsterdam,F,1928,"Tweede Goudsbloemdwarsstraat 22 H, 1015JZ, Amsterdam",4.88403172,52.38052289,,0
20,,H,1015JZ,Tweede Goudsbloemdwarsstraat,Amsterdam,A,1928,"Tweede Goudsbloemdwarsstraat 20 H, 1015JZ, Amsterdam",4.88401662,52.38055877,,0
18,,,1015JZ,Tweede Goudsbloemdwarsstraat,Amsterdam,G,1800,"Tweede Goudsbloemdwarsstraat 18, 1015JZ, Amsterdam",4.88400143,52.38060365,,0
17,,2,1015JX,Tweede Goudsbloemdwarsstraat,Amsterdam,F,1937,"Tweede Goudsbloemdwarsstraat 17 2, 1015JX, Amsterdam",4.88417807,52.38056845,,0
